practice,city,rating,reviews,website,finalUrl,httpStatus,vendor,category,confidence
Riverside Plaza Dentistry,Riverside,4.8,840,https://www.riversideplazadentistry.com/?sc_cid=GBP%3AO%3AGP%3A442%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MzU1Nzg0NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://www.riversideplazadentistry.com/?sc_cid=GBP%3AO%3AGP%3A442%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MzU1Nzg0NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,200,pacific-dental-services,dental-mill,4
Canyon Crest Dental,Riverside,4.8,1868,https://www.canyoncrestdental.com/?utm_source=google.com&utm_medium=business+profile&utm_campaign=,https://www.canyoncrestdental.com/?utm_source=google.com&utm_medium=business%20profile&utm_campaign,200,wordpress-generic,cms,3
Riverside Modern Dentistry,Riverside,5,1439,https://www.riversidemoderndentistry.com/?sc_cid=GBP%3AO%3AGP%3A300%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MzQ3OTcxOTItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,https://www.riversidemoderndentistry.com/?sc_cid=GBP%3AO%3AGP%3A300%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MzQ3OTcxOTItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,200,pacific-dental-services,dental-mill,4
Magnolia Modern Dental,Riverside,4.9,491,http://www.magnoliamoderndental.com/,https://magnoliamoderndental.com/,200,wordpress-generic,cms,3
Inland Choice Dental - Dentist Riverside,Riverside,4.9,803,https://inlandchoicedental.com/,https://inlandchoicedental.com/,200,wordpress-generic,cms,2
Dentist Near Me Riverside,Riverside,4.8,219,http://951dentistnearme.com/,https://www.951dentistnearme.com/,200,docsites,dental-mill,2
Riverside Tooth Co.,Riverside,5,381,https://www.riversidetoothco.com/,https://riversidetoothco.com/,200,wordpress-generic,cms,2
Riverside Dental Center,Riverside,5,222,https://www.riversidedentalcenter.com/,https://www.riversidedentalcenter.com/,200,webflow,modern-stack,2
West Coast Dental of Riverside,Riverside,3.9,890,https://www.westcoastdental.com/locations/riverside/?utm_source=gmb&utm_medium=organic&utm_campaign=riv,https://www.westcoastdental.com/locations/riverside/?utm_source=gmb&utm_medium=organic&utm_campaign=riv,200,wordpress-generic,cms,2
Dental Experts of Riverside,Riverside,5,283,https://www.dentalexpertsofriverside.com/,https://www.dentalexpertsofriverside.com/,200,squarespace,diy-builder,2
